,Person_ID,Person_name,Person_age,Person_gender,Person_ducation_level_ID,Assoc_stimulus,Term1,Term2,cos,Person_term_ID,Person_term_name,Person_term_age,Person_term_gender,Person_term_ducation_level_ID
0,0,enrollee,18,female,1,center,center,center,0.8743803,1,graduate,25,male,2
1,0,enrollee,18,female,1,center,center,center,0.58974606,2,parent,40,female,2
2,0,enrollee,18,female,1,center,center,center,0.48833928,3,post-doc,34,male,3
3,0,enrollee,18,female,1,center,center,university,0.41951412,0,enrollee,18,female,1
4,0,enrollee,18,female,1,center,center,university,0.29146203,1,graduate,25,male,2
5,0,enrollee,18,female,1,center,center,university,0.2729845,2,parent,40,female,2
6,0,enrollee,18,female,1,center,center,university,0.30307516,3,post-doc,34,male,3
7,0,enrollee,18,female,1,center,center,scientific/science,0.41095835,0,enrollee,18,female,1
8,0,enrollee,18,female,1,center,center,scientific/science,0.42612118,1,graduate,25,male,2
9,0,enrollee,18,female,1,center,center,scientific/science,0.33811015,2,parent,40,female,2
10,0,enrollee,18,female,1,center,center,scientific/science,0.33093318,3,post-doc,34,male,3
11,0,enrollee,18,female,1,center,center,educational/education,0.39685348,0,enrollee,18,female,1
12,0,enrollee,18,female,1,center,center,educational/education,0.25136042,1,graduate,25,male,2
13,0,enrollee,18,female,1,center,center,educational/education,0.34293324,2,parent,40,female,2
14,0,enrollee,18,female,1,center,center,educational/education,0.3323681,3,post-doc,34,male,3
15,0,enrollee,18,female,1,center,center,program,0.24755868,0,enrollee,18,female,1
16,0,enrollee,18,female,1,center,center,program,0.26330817,1,graduate,25,male,2
17,0,enrollee,18,female,1,center,center,program,0.27049807,2,parent,40,female,2
18,0,enrollee,18,female,1,center,center,program,0.21404508,3,post-doc,34,male,3
19,1,graduate,25,male,2,center,center,center,0.525579,2,parent,40,female,2
20,1,graduate,25,male,2,center,center,center,0.4311716,3,post-doc,34,male,3
21,1,graduate,25,male,2,center,center,university,0.40186608,0,enrollee,18,female,1
22,1,graduate,25,male,2,center,center,university,0.27817887,1,graduate,25,male,2
23,1,graduate,25,male,2,center,center,university,0.26700297,2,parent,40,female,2
24,1,graduate,25,male,2,center,center,university,0.27753577,3,post-doc,34,male,3
25,1,graduate,25,male,2,center,center,scientific/science,0.4964974,0,enrollee,18,female,1
26,1,graduate,25,male,2,center,center,scientific/science,0.50492316,1,graduate,25,male,2
27,1,graduate,25,male,2,center,center,scientific/science,0.37643626,2,parent,40,female,2
28,1,graduate,25,male,2,center,center,scientific/science,0.3684728,3,post-doc,34,male,3
29,1,graduate,25,male,2,center,center,educational/education,0.3838087,0,enrollee,18,female,1
30,1,graduate,25,male,2,center,center,educational/education,0.27695316,1,graduate,25,male,2
31,1,graduate,25,male,2,center,center,educational/education,0.36975226,2,parent,40,female,2
32,1,graduate,25,male,2,center,center,educational/education,0.34211496,3,post-doc,34,male,3
33,1,graduate,25,male,2,center,center,program,0.25028756,0,enrollee,18,female,1
34,1,graduate,25,male,2,center,center,program,0.23987035,1,graduate,25,male,2
35,1,graduate,25,male,2,center,center,program,0.25132266,2,parent,40,female,2
36,1,graduate,25,male,2,center,center,program,0.20014854,3,post-doc,34,male,3
37,2,parent,40,female,2,center,center,center,0.80184513,3,post-doc,34,male,3
38,2,parent,40,female,2,center,center,university,0.2317617,0,enrollee,18,female,1
39,2,parent,40,female,2,center,center,university,0.22825678,1,graduate,25,male,2
40,2,parent,40,female,2,center,center,university,0.17322135,2,parent,40,female,2
41,2,parent,40,female,2,center,center,university,0.15442976,3,post-doc,34,male,3
42,2,parent,40,female,2,center,center,scientific/science,0.14545208,0,enrollee,18,female,1
43,2,parent,40,female,2,center,center,scientific/science,0.28782207,1,graduate,25,male,2
44,2,parent,40,female,2,center,center,scientific/science,0.20874786,2,parent,40,female,2
45,2,parent,40,female,2,center,center,scientific/science,0.12766872,3,post-doc,34,male,3
46,2,parent,40,female,2,center,center,educational/education,0.14363815,0,enrollee,18,female,1
47,2,parent,40,female,2,center,center,educational/education,0.10868252,1,graduate,25,male,2
48,2,parent,40,female,2,center,center,educational/education,0.13381366,2,parent,40,female,2
